University,Program,Year,Closing_Merit,Total_Seats,Applicants,Admission_Status
University of Engineering and Technology (UET) Lahore,Civil Engineering,2019,85.54,40,657,Closed
COMSATS University Islamabad,Economics,2024,80.33,150,2165,Closed
COMSATS University Islamabad,Computer Science,2018,87.5,100,1090,Closed
Quaid-i-Azam University (QAU),Computer Science,2017,94.17,120,800,Closed
Islamia University of Bahawalpur,Mechanical Engineering,2021,67.48,50,354,Closed
Bahria University,Economics,2016,78.61,150,2354,Closed
Ghulam Ishaq Khan Institute (GIKI),Data Science,2023,99.5,100,772,Closed
Institute of Space Technology (IST),Mathematics,2019,78.78,60,993,Closed
University of Central Punjab (UCP),Software Engineering,2022,75.78,100,908,Closed
University of Management and Technology (UMT),Electrical Engineering,2016,74.94,50,529,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2018,77.7,60,385,Closed
National University of Sciences and Technology (NUST),Mathematics,2016,93.24,60,681,Closed
University of the Punjab (Gujranwala Campus),Data Science,2021,79.19,150,1137,Closed
Quaid-i-Azam University (QAU),Business Administration,2018,87.69,50,554,Closed
Ghulam Ishaq Khan Institute (GIKI),Mathematics,2022,93.58,60,1018,Closed
University of Central Punjab (UCP),Chemical Engineering,2017,68.5,120,1641,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2023,91.45,100,759,Closed
Riphah International University,Electrical Engineering,2021,75.27,100,1556,Closed
Ghulam Ishaq Khan Institute (GIKI),Civil Engineering,2020,90.36,80,1090,Closed
Riphah International University,Business Administration,2021,70.44,150,2044,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2016,90.31,120,2176,Closed
Mehran University of Engineering and Technology,Computer Science,2017,82.18,100,477,Closed
Islamia University of Bahawalpur,Software Engineering,2024,74.23,50,245,Closed
Institute of Space Technology (IST),Mathematics,2021,81.67,40,472,Closed
Islamia University of Bahawalpur,Software Engineering,2021,74.38,150,1264,Closed
Riphah International University,Economics,2021,68.43,120,1124,Closed
Islamia University of Bahawalpur,Software Engineering,2020,68.78,50,364,Closed
Islamia University of Bahawalpur,Business Administration,2015,64.75,50,296,Closed
University of Central Punjab (UCP),Computer Science,2023,77.44,100,906,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2017,92.91,150,2855,Closed
University of the Punjab (Gujranwala Campus),Mathematics,2022,73.53,100,878,Closed
COMSATS University Islamabad,Data Science,2015,82.71,120,1546,Closed
FAST National University,Electrical Engineering,2021,87.94,80,806,Closed
COMSATS University Islamabad,Artificial Intelligence,2017,84.85,100,681,Closed
Bahauddin Zakariya University (BZU) Multan,Data Science,2021,78.78,150,729,Closed
University of the Punjab (Gujranwala Campus),Biomedical Engineering,2021,78.49,100,1654,Closed
Air University Islamabad,Software Engineering,2020,83.47,100,1364,Closed
Riphah International University,Data Science,2021,77.41,40,501,Closed
Bahria University,Chemical Engineering,2021,80.2,80,461,Closed
Air University Islamabad,Electrical Engineering,2023,81.51,80,556,Closed
University of Sargodha,Mechanical Engineering,2024,66.51,40,271,Closed
NED University of Engineering and Technology,Data Science,2021,90.12,40,695,Closed
University of Central Punjab (UCP),Economics,2022,67.58,80,924,Closed
University of Engineering and Technology (UET) Lahore,Chemical Engineering,2015,90.07,40,536,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2022,99.07,80,1118,Closed
University of Karachi,Artificial Intelligence,2018,80.72,40,361,Closed
University of Engineering and Technology (UET) Taxila,Computer Science,2020,94.47,120,1527,Closed
Lahore University of Management Sciences (LUMS),Economics,2023,93.72,100,933,Closed
Superior University Lahore,Mathematics,2016,62.42,150,926,Closed
NED University of Engineering and Technology,Biomedical Engineering,2017,87.03,120,901,Closed
Bahauddin Zakariya University (BZU) Multan,Artificial Intelligence,2016,75.98,60,848,Closed
University of Engineering and Technology (UET) Lahore,Computer Science,2024,99.5,100,1026,Closed
Bahauddin Zakariya University (BZU) Multan,Mathematics,2020,73.15,80,789,Closed
National University of Sciences and Technology (NUST),Economics,2023,96.09,150,1160,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2018,88.58,40,216,Closed
Quaid-i-Azam University (QAU),Chemical Engineering,2020,86.64,100,537,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2020,79.78,50,552,Closed
National University of Sciences and Technology (NUST),Data Science,2023,99.5,120,1970,Closed
NED University of Engineering and Technology,Civil Engineering,2019,79.9,40,515,Closed
Lahore University of Management Sciences (LUMS),Biomedical Engineering,2024,99.5,40,230,Closed
COMSATS University Islamabad,Mechanical Engineering,2022,77.59,50,430,Closed
Mehran University of Engineering and Technology,Artificial Intelligence,2021,82.01,120,1688,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2020,90.45,120,1186,Closed
Bahria University,Mechanical Engineering,2019,78.55,50,361,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2023,88.2,80,859,Closed
University of Agriculture Faisalabad (UAF),Mechanical Engineering,2024,73.0,60,788,Closed
University of Sargodha,Data Science,2016,68.8,60,437,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2021,77.05,50,589,Closed
FAST National University,Data Science,2016,93.49,60,1000,Closed
Air University Islamabad,Business Administration,2022,82.39,100,703,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2018,78.66,120,539,Closed
University of Central Punjab (UCP),Mechanical Engineering,2016,67.36,60,579,Closed
Bahria University,Mathematics,2023,76.77,100,842,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2015,77.69,50,741,Closed
Bahauddin Zakariya University (BZU) Multan,Computer Science,2020,78.55,120,958,Closed
University of Central Punjab (UCP),Software Engineering,2019,73.74,80,1237,Closed
Riphah International University,Artificial Intelligence,2019,79.21,150,1244,Closed
Air University Islamabad,Electrical Engineering,2015,80.06,50,430,Closed
University of Central Punjab (UCP),Business Administration,2015,66.53,100,621,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2017,95.62,60,1179,Closed
University of Engineering and Technology (UET) Taxila,Software Engineering,2023,92.84,120,1403,Closed
University of Karachi,Chemical Engineering,2016,73.16,80,788,Closed
University of Sargodha,Biomedical Engineering,2023,69.0,80,768,Closed
Bahria University,Data Science,2016,81.89,120,976,Closed
University of Sargodha,Electrical Engineering,2022,69.25,120,1188,Closed
University of Central Punjab (UCP),Civil Engineering,2021,70.69,50,286,Closed
Punjab University (PU),Biomedical Engineering,2020,88.02,150,2044,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2016,78.66,50,245,Closed
University of the Punjab (Gujranwala Campus),Electrical Engineering,2018,76.07,60,779,Closed
Quaid-i-Azam University (QAU),Electrical Engineering,2018,,150,2263,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2019,97.46,150,1775,Closed
Riphah International University,Mathematics,2018,69.37,120,1621,Closed
Bahauddin Zakariya University (BZU) Multan,Computer Science,2018,77.86,40,507,Closed
Lahore University of Management Sciences (LUMS),Data Science,2021,99.5,150,1730,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2018,97.51,40,624,Closed
University of Central Punjab (UCP),Mechanical Engineering,2024,73.24,80,1132,Closed
Institute of Space Technology (IST),Chemical Engineering,2020,84.23,40,251,Closed
University of Agriculture Faisalabad (UAF),Chemical Engineering,2018,73.44,120,610,Closed
University of Engineering and Technology (UET) Lahore,Economics,2019,90.25,150,1914,Closed
FAST National University,Data Science,2024,93.48,100,885,Closed
Islamia University of Bahawalpur,Computer Science,2015,69.77,60,581,Closed
University of Karachi,Economics,2024,74.29,100,1484,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2023,92.86,150,2012,Closed
NED University of Engineering and Technology,Mechanical Engineering,2016,84.64,150,1059,Closed
Punjab University (PU),Artificial Intelligence,2015,89.2,60,333,Closed
University of Sargodha,Mathematics,2019,66.47,80,601,Closed
National University of Sciences and Technology (NUST),Electrical Engineering,2016,95.29,50,829,Closed
Ghulam Ishaq Khan Institute (GIKI),Mechanical Engineering,2015,89.09,60,343,Closed
University of Engineering and Technology (UET) Lahore,Mathematics,2018,90.86,150,2860,Closed
University of Central Punjab (UCP),Electrical Engineering,2020,72.69,50,459,Closed
Mehran University of Engineering and Technology,Mathematics,2016,73.27,60,856,Closed
University of Gujrat,Economics,2019,68.42,120,1615,Closed
Bahauddin Zakariya University (BZU) Multan,Artificial Intelligence,2015,76.71,120,714,Closed
Punjab University (PU),Mathematics,2020,,150,1623,Closed
University of the Punjab (Gujranwala Campus),Software Engineering,2022,79.66,100,1336,Closed
University of Engineering and Technology (UET) Taxila,Chemical Engineering,2020,87.5,150,2245,Closed
Bahauddin Zakariya University (BZU) Multan,Data Science,2022,77.53,50,660,Closed
University of Karachi,Business Administration,2017,74.39,60,666,Closed
Quaid-i-Azam University (QAU),Electrical Engineering,2023,88.14,40,620,Closed
University of Management and Technology (UMT),Civil Engineering,2021,70.11,150,1006,Closed
Mehran University of Engineering and Technology,Computer Science,2023,86.82,60,1083,Closed
Bahria University,Computer Science,2018,86.03,150,2291,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2017,92.68,60,1084,Closed
Institute of Space Technology (IST),Mathematics,2023,86.98,150,1972,Closed
University of Sargodha,Electrical Engineering,2021,68.99,50,710,Closed
COMSATS University Islamabad,Mechanical Engineering,2024,80.99,100,1443,Closed
University of Central Punjab (UCP),Computer Science,2019,73.83,60,317,Closed
Institute of Space Technology (IST),Computer Science,2022,93.06,40,410,Closed
Bahria University,Artificial Intelligence,2016,86.56,80,1081,Closed
University of Engineering and Technology (UET) Lahore,Business Administration,2019,92.45,150,2641,Closed
University of Sargodha,Data Science,2018,71.12,60,263,Closed
Lahore University of Management Sciences (LUMS),Business Administration,2022,94.15,80,489,Closed
University of the Punjab (Gujranwala Campus),Business Administration,2018,69.88,60,488,Closed
Lahore University of Management Sciences (LUMS),Biomedical Engineering,2019,99.2,150,2442,Closed
University of Central Punjab (UCP),Mechanical Engineering,2023,70.81,80,776,Closed
University of Karachi,Mechanical Engineering,2015,70.09,100,1264,Closed
Ghulam Ishaq Khan Institute (GIKI),Data Science,2022,99.5,80,790,Closed
Quaid-i-Azam University (QAU),Mathematics,2018,84.52,80,955,Closed
Mehran University of Engineering and Technology,Data Science,2019,83.41,40,463,Closed
Islamia University of Bahawalpur,Chemical Engineering,2022,69.22,60,608,Closed
Superior University Lahore,Mechanical Engineering,2023,63.23,40,213,Closed
National University of Sciences and Technology (NUST),Data Science,2017,99.03,60,507,Closed
FAST National University,Business Administration,2022,88.31,80,987,Closed
University of Management and Technology (UMT),Business Administration,2019,72.22,80,796,Closed
COMSATS University Islamabad,Mathematics,2024,77.09,120,1935,Closed
University of Central Punjab (UCP),Electrical Engineering,2015,70.58,120,1181,Closed
Institute of Space Technology (IST),Business Administration,2023,86.57,50,494,Closed
Air University Islamabad,Computer Science,2020,85.37,50,432,Closed
National University of Sciences and Technology (NUST),Mechanical Engineering,2015,90.99,80,1392,Closed
COMSATS University Islamabad,Artificial Intelligence,2019,89.34,80,468,Closed
Bahria University,Data Science,2022,88.95,60,910,Closed
Riphah International University,Electrical Engineering,2024,74.41,60,709,Closed
University of Central Punjab (UCP),Civil Engineering,2023,68.96,150,1607,Closed
Air University Islamabad,Electrical Engineering,2024,85.23,150,2116,Closed
Mehran University of Engineering and Technology,Software Engineering,2017,77.72,50,678,Closed
University of Gujrat,Mathematics,2016,65.86,150,1189,Closed
COMSATS University Islamabad,Software Engineering,2020,85.15,120,2167,Closed
COMSATS University Islamabad,Software Engineering,2023,84.59,40,358,Closed
Superior University Lahore,Electrical Engineering,2021,70.55,60,399,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2018,88.74,50,583,Closed
University of the Punjab (Gujranwala Campus),Mechanical Engineering,2017,71.93,120,1820,Closed
Islamia University of Bahawalpur,Mathematics,2018,65.17,80,769,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2021,86.8,120,1645,Closed
University of Agriculture Faisalabad (UAF),Mathematics,2020,69.29,40,589,Closed
University of Sargodha,Data Science,2024,76.29,40,206,Closed
Punjab University (PU),Artificial Intelligence,2019,89.56,80,512,Closed
University of Agriculture Faisalabad (UAF),Data Science,2022,78.96,60,743,Closed
Institute of Space Technology (IST),Data Science,2022,92.94,150,2208,Closed
Islamia University of Bahawalpur,Chemical Engineering,2019,68.06,50,418,Closed
Riphah International University,Software Engineering,2020,77.05,100,1518,Closed
NED University of Engineering and Technology,Chemical Engineering,2024,87.92,60,1020,Closed
University of Agriculture Faisalabad (UAF),Computer Science,2024,82.35,80,1229,Closed
Lahore University of Management Sciences (LUMS),Computer Science,2024,99.5,120,740,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2020,90.92,100,1352,Closed
Superior University Lahore,Economics,2024,68.22,40,362,Closed
Mehran University of Engineering and Technology,Data Science,2015,82.21,150,2326,Closed
University of Karachi,Computer Science,2021,79.75,150,2314,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2022,69.92,150,1889,Closed
National University of Sciences and Technology (NUST),Computer Science,2019,99.43,80,1301,Closed
University of Central Punjab (UCP),Software Engineering,2023,73.52,150,1839,Closed
Superior University Lahore,Artificial Intelligence,2022,73.18,100,1253,Closed
Bahria University,Electrical Engineering,2018,137.24,40,560,Closed
Riphah International University,Artificial Intelligence,2015,73.59,80,444,Closed
NED University of Engineering and Technology,Artificial Intelligence,2017,89.36,100,522,Closed
University of Gujrat,Electrical Engineering,2016,68.27,80,807,Closed
Ghulam Ishaq Khan Institute (GIKI),Electrical Engineering,2019,94.61,100,1563,Closed
Riphah International University,Data Science,2015,73.94,50,483,Closed
Punjab University (PU),Mechanical Engineering,2017,78.65,50,280,Closed
University of Central Punjab (UCP),Computer Science,2020,77.74,120,646,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2016,88.31,80,454,Closed
Bahauddin Zakariya University (BZU) Multan,Software Engineering,2019,77.12,80,729,Closed
University of Engineering and Technology (UET) Taxila,Data Science,2021,94.12,60,503,Closed
University of Management and Technology (UMT),Civil Engineering,2024,69.14,150,1795,Closed
Bahauddin Zakariya University (BZU) Multan,Biomedical Engineering,2024,78.77,50,591,Closed
Superior University Lahore,Chemical Engineering,2022,64.23,40,258,Closed
Islamia University of Bahawalpur,Artificial Intelligence,2016,72.31,40,512,Closed
Ghulam Ishaq Khan Institute (GIKI),Business Administration,2015,90.83,40,650,Closed
Riphah International University,Chemical Engineering,2023,76.23,40,417,Closed
University of Management and Technology (UMT),Computer Science,2024,81.57,80,1092,Closed
University of Karachi,Economics,2016,70.68,50,531,Closed
University of Gujrat,Artificial Intelligence,2021,75.62,80,805,Closed
Punjab University (PU),Mathematics,2022,81.42,40,298,Closed
University of Engineering and Technology (UET) Taxila,Business Administration,2019,86.69,80,1273,Closed
Mehran University of Engineering and Technology,Biomedical Engineering,2021,78.73,40,451,Closed
University of Management and Technology (UMT),Mathematics,2021,67.38,100,1131,Closed
Islamia University of Bahawalpur,Computer Science,2020,72.33,100,1125,Closed
Punjab University (PU),Chemical Engineering,2022,83.92,40,419,Closed
University of Engineering and Technology (UET) Lahore,Electrical Engineering,2020,94.14,40,442,Closed
National University of Sciences and Technology (NUST),Computer Science,2016,99.5,60,925,Closed
Lahore University of Management Sciences (LUMS),Business Administration,2015,92.34,50,403,Closed
University of Engineering and Technology (UET) Lahore,Civil Engineering,2017,85.34,40,510,Closed
Quaid-i-Azam University (QAU),Computer Science,2018,91.45,150,820,Closed
University of Karachi,Electrical Engineering,2021,78.92,50,607,Closed
FAST National University,Economics,2022,87.76,80,758,Closed
University of Engineering and Technology (UET) Taxila,Biomedical Engineering,2023,89.08,80,676,Closed
Bahauddin Zakariya University (BZU) Multan,Mathematics,2024,74.99,120,1339,Closed
Mehran University of Engineering and Technology,Software Engineering,2015,76.56,150,1657,Closed
NED University of Engineering and Technology,Mechanical Engineering,2018,85.03,40,280,Closed
Punjab University (PU),Biomedical Engineering,2016,85.82,100,911,Closed
University of Sargodha,Computer Science,2016,70.13,120,1487,Closed
Riphah International University,Biomedical Engineering,2015,71.71,100,971,Closed
Ghulam Ishaq Khan Institute (GIKI),Civil Engineering,2022,91.96,50,663,Closed
Bahria University,Biomedical Engineering,2021,80.59,150,892,Closed
NED University of Engineering and Technology,Biomedical Engineering,2018,88.26,150,2046,Closed
Riphah International University,Chemical Engineering,2015,68.37,150,2027,Closed
University of Management and Technology (UMT),Biomedical Engineering,2023,77.77,150,985,Closed
Superior University Lahore,Software Engineering,2022,70.44,40,553,Closed
University of Engineering and Technology (UET) Lahore,Chemical Engineering,2022,94.16,60,728,Closed
University of Engineering and Technology (UET) Lahore,Mechanical Engineering,2017,88.25,60,937,Closed
University of Engineering and Technology (UET) Lahore,Economics,2022,92.57,80,1128,Closed
Ghulam Ishaq Khan Institute (GIKI),Artificial Intelligence,2019,99.5,150,2649,Closed
Lahore University of Management Sciences (LUMS),Data Science,2019,99.5,60,976,Closed
Institute of Space Technology (IST),Computer Science,2015,87.46,80,1049,Closed
Bahauddin Zakariya University (BZU) Multan,Civil Engineering,2020,68.51,60,271,Closed
University of Sargodha,Software Engineering,2022,72.46,50,482,Closed
Superior University Lahore,Software Engineering,2021,68.07,120,1513,Closed
University of Gujrat,Mathematics,2019,68.17,120,1720,Closed
University of Central Punjab (UCP),Artificial Intelligence,2024,77.54,50,237,Closed
Bahauddin Zakariya University (BZU) Multan,Business Administration,2015,67.17,150,1917,Closed
FAST National University,Software Engineering,2019,90.5,60,1045,Closed
COMSATS University Islamabad,Chemical Engineering,2017,81.27,120,1207,Closed
NED University of Engineering and Technology,Artificial Intelligence,2019,93.47,100,873,Closed
University of Gujrat,Civil Engineering,2015,65.75,120,827,Closed
University of Karachi,Electrical Engineering,2018,76.24,40,186,Closed
Punjab University (PU),Computer Science,2023,89.88,120,1290,Closed
University of Central Punjab (UCP),Software Engineering,2024,76.34,50,510,Closed
Lahore University of Management Sciences (LUMS),Business Administration,2024,96.86,60,927,Closed
FAST National University,Artificial Intelligence,2019,93.37,80,1589,Closed
Air University Islamabad,Mechanical Engineering,2021,81.61,150,2355,Closed
Superior University Lahore,Mechanical Engineering,2021,64.48,40,173,Closed
Superior University Lahore,Artificial Intelligence,2023,72.94,80,593,Closed
Mehran University of Engineering and Technology,Mathematics,2023,75.9,50,388,Closed
Riphah International University,Civil Engineering,2016,64.05,40,353,Closed
University of Sargodha,Civil Engineering,2020,65.67,100,1155,Closed
Superior University Lahore,Chemical Engineering,2017,64.83,120,608,Closed
University of Agriculture Faisalabad (UAF),Civil Engineering,2017,67.21,150,1565,Closed
FAST National University,Business Administration,2024,87.14,120,1716,Closed
Lahore University of Management Sciences (LUMS),Civil Engineering,2015,90.68,150,2117,Closed
Riphah International University,Artificial Intelligence,2017,78.11,120,1252,Closed
COMSATS University Islamabad,Mechanical Engineering,2021,79.0,100,900,Closed
University of Central Punjab (UCP),Business Administration,2017,65.17,150,1487,Closed
Quaid-i-Azam University (QAU),Artificial Intelligence,2018,94.57,120,1339,Closed
Bahria University,Artificial Intelligence,2023,86.68,100,865,Closed
Islamia University of Bahawalpur,Computer Science,2023,74.54,120,1388,Closed
Quaid-i-Azam University (QAU),Mathematics,2017,87.0,60,433,Closed
Bahria University,Electrical Engineering,2022,80.78,60,860,Closed
Institute of Space Technology (IST),Electrical Engineering,2018,85.38,50,630,Closed
FAST National University,Artificial Intelligence,2018,93.6,100,740,Closed
Institute of Space Technology (IST),Economics,2017,80.94,80,504,Closed
University of Engineering and Technology (UET) Taxila,Business Administration,2017,81.95,80,805,Closed
University of Engineering and Technology (UET) Lahore,Biomedical Engineering,2021,93.68,120,1762,Closed
University of Management and Technology (UMT),Mechanical Engineering,2015,66.65,150,1245,Closed
FAST National University,Economics,2023,84.9,50,540,Closed
Bahauddin Zakariya University (BZU) Multan,Artificial Intelligence,2023,77.64,60,369,Closed
National University of Sciences and Technology (NUST),Software Engineering,2020,99.5,150,2658,Closed
Ghulam Ishaq Khan Institute (GIKI),Computer Science,2021,99.5,120,2510,Closed
Riphah International University,Business Administration,2020,67.33,100,1010,Closed
University of Agriculture Faisalabad (UAF),Mathematics,2024,74.75,150,1081,Closed
National University of Sciences and Technology (NUST),Biomedical Engineering,2019,95.39,40,751,Closed
Air University Islamabad,Mechanical Engineering,2018,78.86,120,1499,Closed
University of Central Punjab (UCP),Economics,2021,68.76,60,733,Closed
University of Gujrat,Biomedical Engineering,2020,73.94,80,1222,Closed
University of Agriculture Faisalabad (UAF),Biomedical Engineering,2020,75.78,50,255,Closed
FAST National University,Biomedical Engineering,2016,86.48,150,1021,Closed
Riphah International University,Electrical Engineering,2022,72.75,50,345,Closed
Superior University Lahore,Electrical Engineering,2022,67.12,,178,Closed
University of Engineering and Technology (UET) Taxila,Mathematics,2016,81.31,100,1515,Closed
University of Sargodha,Mechanical Engineering,2021,69.02,100,822,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2021,85.61,150,1504,Closed
FAST National University,Biomedical Engineering,2021,92.65,40,743,Closed
University of Gujrat,Mechanical Engineering,2021,66.42,80,869,Closed
Superior University Lahore,Chemical Engineering,2020,66.03,150,1202,Closed
COMSATS University Islamabad,Computer Science,2024,85.04,100,1332,Closed
Quaid-i-Azam University (QAU),Mechanical Engineering,2022,89.66,60,443,Closed
Bahria University,Economics,2019,78.89,80,1168,Closed
Islamia University of Bahawalpur,Mathematics,2022,66.66,80,1067,Closed
Mehran University of Engineering and Technology,Economics,2022,79.03,100,1530,Closed
National University of Sciences and Technology (NUST),Mathematics,2022,95.32,50,472,Closed
University of Management and Technology (UMT),Business Administration,2023,70.89,50,275,Closed
Air University Islamabad,Business Administration,2015,77.63,120,1092,Closed
FAST National University,Software Engineering,2017,90.95,60,700,Closed
University of Sargodha,Software Engineering,2019,69.56,120,1508,Closed
Mehran University of Engineering and Technology,Chemical Engineering,2019,78.58,120,615,Closed
Punjab University (PU),Chemical Engineering,2024,85.03,60,828,Closed
University of Central Punjab (UCP),Biomedical Engineering,2015,72.99,50,210,Closed
Ghulam Ishaq Khan Institute (GIKI),Software Engineering,2017,93.63,120,1457,Closed
Air University Islamabad,Artificial Intelligence,2023,88.19,100,1641,Closed
Air University Islamabad,Data Science,2024,90.39,60,668,Closed
University of Engineering and Technology (UET) Lahore,Software Engineering,2019,96.82,120,1846,Closed
National University of Sciences and Technology (NUST),Software Engineering,2021,97.81,50,897,Closed
Bahauddin Zakariya University (BZU) Multan,Electrical Engineering,2018,76.35,80,807,Closed
University of Management and Technology (UMT),Economics,2024,71.88,120,1401,Closed
University of Sargodha,Biomedical Engineering,2021,71.84,150,1974,Closed
University of Engineering and Technology (UET) Taxila,Electrical Engineering,2020,88.89,80,1145,Closed
University of the Punjab (Gujranwala Campus),Economics,2018,71.28,40,165,Closed
COMSATS University Islamabad,Business Administration,2021,78.25,100,1645,Closed
Superior University Lahore,Artificial Intelligence,2020,74.37,80,358,Closed
University of Karachi,Civil Engineering,2023,74.7,100,1131,Closed
University of Karachi,Electrical Engineering,2017,78.16,120,891,Closed
Lahore University of Management Sciences (LUMS),Economics,2019,92.31,40,595,Closed
University of Engineering and Technology (UET) Taxila,Mathematics,2020,80.59,120,1509,Closed
University of Engineering and Technology (UET) Taxila,Artificial Intelligence,2023,96.33,40,541,Closed
Lahore University of Management Sciences (LUMS),Artificial Intelligence,2018,99.5,80,1528,Closed
Riphah International University,Civil Engineering,2021,69.05,60,619,Closed
Riphah International University,Data Science,2018,78.0,120,1581,Closed
COMSATS University Islamabad,Computer Science,2019,86.03,60,388,Closed
Ghulam Ishaq Khan Institute (GIKI),Biomedical Engineering,2022,,50,657,Closed
Air University Islamabad,Civil Engineering,2017,77.1,80,724,Closed
Institute of Space Technology (IST),Chemical Engineering,2024,86.34,150,1406,Closed
Air University Islamabad,Mechanical Engineering,2016,78.62,150,2090,Closed
University of Sargodha,Business Administration,2024,67.85,100,1147,Closed
Bahria University,Mathematics,2024,76.71,120,1520,Closed
Quaid-i-Azam University (QAU),Computer Science,2021,93.08,150,2669,Closed
Bahria University,Software Engineering,2020,81.38,80,377,Closed
Bahria University,Mechanical Engineering,2023,78.0,60,423,Closed
Bahria University,Artificial Intelligence,2019,87.43,60,337,Closed
Institute of Space Technology (IST),Electrical Engineering,2016,83.86,60,781,Closed
National University of Sciences and Technology (NUST),Civil Engineering,2022,89.02,60,788,Closed
University of Gujrat,Business Administration,2023,67.31,40,554,Closed
